년도,월,자동차 모델,판매량,점유율,전월대비_기준,전월대비_증감
2023,1,Panamera,124,33.20%,142,-18▼
2023,1,Taycan,58,17.40%,73,-8▼
2023,1,911,35,16.60%,34,+28▲
2023,1,AMG GT,10,8.80%,118,-85▼
2023,1,M4,15,5.60%,31,-10▼
2023,1,718 Boxster,3,4.00%,21,-6▼
2023,1,718 Cayman,3,3.20%,20,-8▼
2023,1,Mustang,65,2.90%,26,-15▼
2023,1,GR SUPRA,39,2.40%,0,+9▲
2023,1,M3,1,2.10%,25,-17▼
2023,1,M5,4,1.60%,23,-17▼
2023,1,GR 86,2,1.10%,8,-4▼
2023,1,Z4,13,0.50%,11,-9▼
2023,1,F-Type,1,0.50%,0,+2▲
2023,2,Panamera,194,32.20%,124,+70▲
2023,2,Taycan,87,19.40%,65,+52▲
2023,2,911,49,16.80%,62,+39▲
2023,2,AMG GT,18,10.80%,33,+32▲
2023,2,M5,31,3.50%,6,+15▲
2023,2,718 Boxster,6,3.30%,15,+5▲
2023,2,718 Cayman,3,3.20%,12,+7▲
2023,2,M3,117,3.20%,8,+11▲
2023,2,M4,67,2.00%,21,-9▼
2023,2,Mustang,6,1.80%,11,-0▼
2023,2,GR 86,6,1.80%,4,+7▲
2023,2,Huracan EVO,9,1.00%,0,+6▲
2023,2,GR SUPRA,22,1.00%,9,-3▼
2023,3,Panamera,161,24.70%,194,-33▼
2023,3,AMG GT,73,15.60%,65,+37▲
2023,3,911,39,15.50%,101,-0▼
2023,3,Taycan,9,14.10%,117,-25▼
2023,3,M3,36,6.00%,19,+20▲
2023,3,Z4,1,5.10%,0,+33▲
2023,3,M4,3,3.80%,12,+13▲
2023,3,M5,102,3.40%,21,+1▲
2023,3,GR 86,102,3.40%,11,+11▲
2023,3,Mustang,101,2.80%,11,+7▲
2023,3,718 Cayman,1,2.50%,19,-3▼
2023,3,718 Boxster,30,1.70%,20,-9▼
2023,3,Huracan EVO,33,0.80%,6,-1▼
2023,3,GR SUPRA,1,0.30%,6,-4▼
2023,3,LC,1,0.20%,0,+1▲
2023,3,M8,6,0.20%,0,+1▲
2023,3,F-Type,15,0.20%,0,+1▲
2023,4,Panamera,169,22.70%,161,+8▲
2023,4,911,67,18.30%,101,+35▲
2023,4,Taycan,65,17.00%,92,+35▲
2023,4,AMG GT,14,11.90%,102,-13▼
2023,4,718 Boxster,21,7.90%,11,+48▲
2023,4,Z4,2,4.70%,33,+2▲
2023,4,Mustang,136,4.20%,18,+13▲
2023,4,M3,3,3.00%,39,-17▼
2023,4,Huracan EVO,3,2.80%,5,+16▲
2023,4,M5,25,2.40%,22,-4▼
2023,4,718 Cayman,33,2.00%,16,-1▼
2023,4,M4,1,1.60%,25,-13▼
2023,4,GR 86,2,0.50%,22,-18▼
2023,4,F-Type,3,0.40%,1,+2▲
2023,4,SL-Class,8,0.30%,0,+2▲
2023,4,GR SUPRA,9,0.10%,2,-1▼
2023,4,LC,10,0.10%,1,-0▼
2023,5,911,147,17.20%,136,+11▲
2023,5,Panamera,6,17.10%,169,-23▼
2023,5,Taycan,7,14.90%,127,-0▼
2023,5,AMG GT,21,13.00%,89,+22▲
2023,5,Z4,33,7.50%,35,+29▲
2023,5,718 Boxster,2,7.30%,59,+3▲
2023,5,SL-Class,3,6.10%,2,+50▲
2023,5,Mustang,12,3.90%,31,+2▲
2023,5,Huracan EVO,8,3.40%,21,+8▲
2023,5,M5,7,2.80%,18,+6▲
2023,5,718 Cayman,12,2.20%,15,+4▲
2023,5,M3,1,1.50%,22,-9▼
2023,5,M4,5,1.30%,12,-1▼
2023,5,GR 86,6,0.60%,4,+1▲
2023,5,GR SUPRA,3,0.50%,1,+3▲
2023,5,MC20 Cielo,3,0.40%,0,+3▲
2023,5,F-Type,9,0.20%,3,-1▼
2023,5,LC,9,0.10%,1,-0▼
2023,6,Taycan,164,17.60%,127,+37▲
2023,6,Panamera,100,14.70%,146,-9▼
2023,6,911,3,14.60%,147,-11▼
2023,6,AMG GT,25,12.40%,111,+5▲
2023,6,SL-Class,7,9.70%,52,+38▲
2023,6,Z4,19,9.50%,64,+25▲
2023,6,718 Boxster,5,5.20%,62,-14▼
2023,6,Mustang,1,3.50%,33,-0▼
2023,6,M4,4,3.30%,11,+20▲
2023,6,M5,137,3.00%,24,+4▲
2023,6,718 Cayman,68,1.60%,19,-4▼
2023,6,GR 86,52,1.50%,5,+9▲
2023,6,M3,11,1.10%,13,-3▼
2023,6,Huracan EVO,4,1.10%,29,-19▼
2023,6,MC20 Cielo,1,0.30%,3,-0▼
2023,6,GR SUPRA,1,0.30%,4,-1▼
2023,6,F-Type,136,0.20%,2,-0▼
2023,6,MC20,3,0.10%,0,+1▲
2023,6,LC,4,0.10%,1,-0▼
2023,6,M2,26,0.10%,0,+1▲
2023,7,Panamera,192,21.80%,137,+55▲
2023,7,Taycan,122,18.50%,164,-1▼
2023,7,AMG GT,49,12.20%,116,-9▼
2023,7,911,9,11.90%,136,-31▼
2023,7,M2,10,8.20%,1,+71▲
2023,7,718 Boxster,2,6.80%,48,+12▲
2023,7,Mustang,163,4.40%,33,+6▲
2023,7,Z4,74,4.30%,89,-51▼
2023,7,SL-Class,3,2.40%,90,-69▼
2023,7,M3,27,2.00%,10,+8▲
2023,7,M5,13,2.00%,28,-10▼
2023,7,M4,36,1.70%,31,-16▼
2023,7,Huracan EVO,3,1.50%,10,+3▲
2023,7,GR 86,6,1.00%,14,-5▼
2023,7,718 Cayman,1,0.80%,15,-8▼
2023,7,GR SUPRA,107,0.30%,3,-0▼
2023,8,Panamera,278,25.40%,192,+86▲
2023,8,AMG GT,176,16.70%,107,+76▲
2023,8,Taycan,57,16.30%,163,+16▲
2023,8,911,14,15.90%,105,+69▲
2023,8,718 Boxster,28,4.70%,60,-9▼
2023,8,Z4,2,4.50%,38,+11▲
2023,8,M3,1,3.30%,18,+18▲
2023,8,Mustang,183,2.90%,39,-7▼
2023,8,M2,179,2.50%,72,-45▼
2023,8,SL-Class,4,2.30%,21,+4▲
2023,8,M4,179,2.10%,15,+8▲
2023,8,M5,109,1.20%,18,-5▼
2023,8,718 Cayman,2,0.60%,7,-0▼
2023,8,Huracan EVO,21,0.50%,13,-7▼
2023,8,MC20 Cielo,7,0.40%,0,+4▲
2023,8,GR SUPRA,31,0.40%,3,+1▲
2023,8,GR 86,3,0.20%,9,-7▼
2023,8,F-Type,2,0.10%,0,+1▲
2023,8,M8,4,0.10%,0,+1▲
2023,9,AMG GT,192,22.20%,183,+9▲
2023,9,Panamera,185,19.60%,278,-108▼
2023,9,Taycan,7,15.40%,179,-46▼
2023,9,911,170,13.70%,174,-55▼
2023,9,Z4,100,5.30%,49,-3▼
2023,9,M4,40,4.20%,23,+13▲
2023,9,Huracan EVO,11,3.70%,6,+26▲
2023,9,718 Boxster,15,3.60%,51,-20▼
2023,9,Mustang,2,3.10%,32,-5▼
2023,9,M3,2,3.00%,36,-10▼
2023,9,SL-Class,133,1.60%,25,-11▼
2023,9,718 Cayman,68,1.00%,7,+2▲
2023,9,M5,11,0.80%,13,-6▼
2023,9,M2,24,0.80%,27,-20▼
2023,9,GR 86,5,0.70%,2,+4▲
2023,9,LC,18,0.50%,0,+4▲
2023,9,MC20 Cielo,2,0.50%,4,-0▼
2023,9,F-Type,2,0.30%,1,+2▲
2023,10,Taycan,151,25.40%,133,+18▲
2023,10,911,80,16.60%,119,-20▼
2023,10,Panamera,3,13.40%,170,-90▼
2023,10,AMG GT,25,9.60%,192,-135▼
2023,10,Z4,4,6.70%,46,-6▼
2023,10,M4,35,5.50%,36,-3▼
2023,10,M2,1,5.20%,7,+24▲
2023,10,718 Boxster,3,4.20%,31,-6▼
2023,10,M3,99,3.00%,26,-8▼
2023,10,GR 86,6,2.20%,6,+7▲
2023,10,Huracan EVO,6,2.00%,32,-20▼
2023,10,718 Cayman,13,1.50%,9,-0▼
2023,10,F-Type,15,1.30%,3,+5▲
2023,10,M5,4,1.20%,7,-0▼
2023,10,SL-Class,2,1.20%,14,-7▼
2023,10,Mustang,11,0.80%,27,-22▼
2023,11,Taycan,175,31.80%,151,+24▲
2023,11,Panamera,73,15.80%,80,+7▲
2023,11,911,17,10.90%,99,-39▼
2023,11,AMG GT,24,9.60%,57,-4▼
2023,11,718 Boxster,15,5.60%,25,+6▲
2023,11,M4,32,5.10%,33,-5▼
2023,11,Z4,6,4.70%,40,-14▼
2023,11,M2,6,4.20%,31,-8▼
2023,11,M3,2,3.30%,18,-0▼
2023,11,718 Cayman,87,2.50%,9,+5▲
2023,11,Huracan EVO,54,2.20%,12,-0▼
2023,11,SL-Class,19,1.50%,7,+1▲
2023,11,GR 86,6,1.30%,13,-6▼
2023,11,M5,4,0.40%,7,-5▼
2023,11,LC,4,0.40%,0,+2▲
2023,11,M8,60,0.40%,0,+2▲
2023,11,F-Type,5,0.20%,8,-7▼
2023,11,MC20 Cielo,1,0.20%,0,+1▲
2023,12,Taycan,312,36.80%,175,+137▲
2023,12,AMG GT,179,17.80%,53,+98▲
2023,12,Panamera,7,9.40%,87,-7▼
2023,12,911,33,7.30%,60,+2▲
2023,12,M4,18,7.20%,28,+33▲
2023,12,Z4,48,4.70%,26,+14▲
2023,12,718 Boxster,11,4.40%,31,+6▲
2023,12,Huracan EVO,12,3.20%,12,+15▲
2023,12,M3,4,2.60%,18,+4▲
2023,12,SL-Class,151,2.40%,8,+12▲
2023,12,M2,134,1.70%,23,-9▼
2023,12,M5,17,0.80%,2,+5▲
2023,12,718 Cayman,80,0.80%,14,-7▼
2023,12,GR 86,56,0.40%,7,-4▼
2023,12,M8,14,0.40%,2,+1▲
2023,12,GR SUPRA,5,0.10%,0,+1▲
2024,1,911,85,22.20%,62,+23▲
2024,1,718 Boxster,3,11.70%,37,+8▲
2024,1,Taycan,2,11.20%,312,-269▼
2024,1,Z4,20,11.20%,40,+3▲
2024,1,Panamera,14,8.90%,80,-46▼
2024,1,M2,2,7.80%,14,+16▲
2024,1,GR 86,1,6.80%,3,+23▲
2024,1,AMG GT,3,6.80%,151,-125▼
2024,1,M4,12,2.90%,61,-50▼
2024,1,M3,4,2.10%,22,-14▼
2024,1,SL-Class,5,2.10%,20,-12▼
2024,1,Huracan EVO,1,1.80%,27,-20▼
2024,1,GR SUPRA,4,1.80%,1,+6▲
2024,1,718 Cayman,1,1.60%,7,-1▼
2024,1,Mustang,5,0.80%,0,+3▲
2024,1,LC,1,0.30%,0,+1▲
2024,2,Mustang,169,28.00%,0,+169▲
2024,2,911,36,14.90%,85,+5▲
2024,2,718 Boxster,57,9.80%,45,+14▲
2024,2,GR 86,28,9.80%,26,+33▲
2024,2,Taycan,48,7.90%,43,+5▲
2024,2,Panamera,90,7.50%,34,+11▲
2024,2,Z4,4,5.30%,43,-11▼
2024,2,AMG GT,16,5.10%,26,+5▲
2024,2,M2,17,2.80%,30,-13▼
2024,2,M3,3,2.30%,8,+6▲
2024,2,718 Cayman,5,2.00%,6,+6▲
2024,2,SL-Class,5,1.70%,8,+2▲
2024,2,M4,5,1.30%,11,-3▼
2024,2,Huracan EVO,2,0.70%,7,-3▼
2024,2,GR SUPRA,5,0.50%,7,-4▼
2024,2,LC,6,0.50%,1,+2▲
2024,3,Mustang,119,20.70%,169,-50▼
2024,3,AMG GT,31,15.00%,31,+55▲
2024,3,911,37,12.70%,90,-17▼
2024,3,Panamera,30,10.40%,45,+15▲
2024,3,Taycan,21,9.60%,48,+7▲
2024,3,GR 86,86,7.30%,59,-17▼
2024,3,718 Boxster,81,5.70%,59,-26▼
2024,3,Z4,5,5.70%,32,+1▲
2024,3,M2,73,3.50%,17,+3▲
2024,3,M4,2,3.10%,8,+10▲
2024,3,SL-Class,8,1.90%,10,+1▲
2024,3,M3,9,1.40%,14,-6▼
2024,3,718 Cayman,10,1.00%,12,-6▼
2024,3,Huracan EVO,8,0.90%,4,+1▲
2024,3,M5,1,0.50%,0,+3▲
2024,3,MC20 Cielo,8,0.20%,0,+1▲
2024,3,GR SUPRA,7,0.20%,3,-2▼
2024,3,LC,4,0.20%,3,-2▼
2024,4,Taycan,110,18.40%,55,+55▲
2024,4,911,41,17.90%,73,+34▲
2024,4,Z4,3,11.70%,33,+37▲
2024,4,GR 86,43,9.50%,42,+15▲
2024,4,Mustang,10,8.70%,119,-67▼
2024,4,AMG GT,11,7.40%,86,-42▼
2024,4,M2,1,5.70%,20,+14▲
2024,4,SL-Class,1,4.50%,11,+16▲
2024,4,Panamera,107,4.00%,0,+24▲
2024,4,718 Boxster,12,3.00%,33,-15▼
2024,4,M3,13,2.50%,8,+7▲
2024,4,M4,5,2.20%,18,-5▼
2024,4,M8,9,1.00%,0,+6▲
2024,4,Huracan EVO,11,0.80%,5,-0▼
2024,4,718 Cayman,2,0.80%,6,-1▼
2024,4,Panamera,11,0.80%,60,-55▼
2024,4,GR SUPRA,17,0.70%,1,+3▲
2024,4,M5,3,0.20%,3,-2▼
2024,5,911,120,20.40%,107,+13▲
2024,5,Mustang,5,18.30%,52,+56▲
2024,5,Taycan,18,14.90%,110,-22▼
2024,5,Z4,3,10.70%,70,-7▼
2024,5,Panamera,3,8.70%,24,+27▲
2024,5,AMG GT,9,6.80%,44,-4▼
2024,5,M2,11,3.90%,34,-11▼
2024,5,M4,21,3.20%,13,+6▲
2024,5,GR 86,19,2.90%,57,-40▼
2024,5,718 Boxster,1,2.70%,18,-2▼
2024,5,SL-Class,2,2.00%,27,-15▼
2024,5,M3,7,1.50%,15,-6▼
2024,5,M8,2,1.20%,6,+1▲
2024,5,718 Cayman,6,0.80%,5,-0▼
2024,5,Huracan EVO,2,0.70%,5,-1▼
2024,5,M5,6,0.70%,1,+3▲
2024,5,GR SUPRA,2,0.50%,4,-1▼
2024,6,Panamera,70,14.40%,51,+19▲
2024,6,911,66,11.80%,120,-63▼
2024,6,GR 86,4,10.10%,17,+32▲
2024,6,Mustang,57,9.50%,108,-62▼
2024,6,Z4,7,9.30%,63,-18▼
2024,6,Taycan,6,7.80%,88,-50▼
2024,6,AMG GT,1,7.00%,40,-6▼
2024,6,718 Boxster,2,7.00%,16,+18▲
2024,6,M2,5,6.60%,23,+9▲
2024,6,M4,13,4.10%,19,+1▲
2024,6,M3,8,3.50%,9,+8▲
2024,6,Huracan EVO,1,2.30%,4,+7▲
2024,6,M8,3,2.10%,7,+3▲
2024,6,SL-Class,2,2.10%,12,-2▼
2024,6,718 Cayman,3,0.80%,5,-1▼
2024,6,GR SUPRA,3,0.60%,3,-0▼
2024,6,LC,3,0.40%,0,+2▲
2024,6,M5,49,0.40%,4,-2▼
2024,6,MC20,49,0.20%,0,+1▲
2024,7,Panamera,357,41.40%,70,+287▲
2024,7,911,353,23.60%,57,+147▲
2024,7,Mustang,1,7.40%,46,+18▲
2024,7,GR 86,2,5.20%,49,-4▼
2024,7,AMG GT,1,4.40%,34,+4▲
2024,7,Z4,204,4.10%,45,-10▼
2024,7,M2,21,3.60%,32,-1▼
2024,7,718 Boxster,22,3.10%,34,-7▼
2024,7,M3,4,1.70%,17,-2▼
2024,7,Huracan EVO,5,1.50%,11,+2▲
2024,7,M4,11,1.40%,20,-8▼
2024,7,SL-Class,22,1.20%,10,-0▼
2024,7,Taycan,33,0.70%,0,+6▲
2024,7,GR SUPRA,8,0.30%,3,-0▼
2024,7,718 Cayman,1,0.20%,4,-2▼
2024,7,LC,5,0.10%,2,-1▼
2024,8,911,235,30.40%,204,+31▲
2024,8,Panamera,10,28.50%,357,-137▼
2024,8,Taycan,25,6.50%,6,+44▲
2024,8,AMG GT,7,6.10%,38,+9▲
2024,8,Mustang,12,4.40%,64,-30▼
2024,8,Z4,16,3.90%,35,-5▼
2024,8,718 Boxster,28,3.60%,27,+1▲
2024,8,M4,46,3.50%,0,+27▲
2024,8,GR 86,30,3.20%,45,-20▼
2024,8,M3,1,3.10%,15,+9▲
2024,8,M2,5,2.80%,31,-9▼
,,,,,,
2024,8,SL-Class,7,0.90%,10,-3▼
2024,8,718 Cayman,11,0.90%,2,+5▲
2024,8,Huracan EVO,7,0.30%,13,-11▼
2024,8,GR SUPRA,12,0.30%,3,-1▼
2024,9,Panamera,133,20.80%,220,-87▼
2024,9,Taycan,128,20.60%,50,+82▲
2024,9,911,5,19.70%,235,-109▼
2024,9,Mustang,132,6.70%,34,+9▲
2024,9,AMG GT,53,5.90%,47,-9▼
2024,9,M4,39,4.70%,27,+3▲
2024,9,GR 86,4,4.40%,25,+3▲
2024,9,Z4,18,4.10%,30,-4▼
2024,9,M2,10,2.70%,22,-5▼
2024,9,718 Boxster,7,1.70%,28,-17▼
2024,9,M3,126,1.30%,24,-16▼
2024,9,SL-Class,6,0.90%,7,-1▼
2024,9,718 Cayman,26,0.80%,7,-2▼
2024,9,Huracan EVO,5,0.50%,2,+1▲
2024,10,Taycan,121,22.10%,132,-11▼
2024,10,Panamera,66,19.90%,133,-24▼
2024,10,911,4,16.10%,126,-38▼
2024,10,Mustang,46,6.80%,43,-6▼
2024,10,AMG GT,1,6.80%,38,-1▼
2024,10,Z4,1,6.60%,26,+10▲
2024,10,718 Boxster,1,4.80%,11,+15▲
2024,10,M2,2,4.40%,17,+7▲
2024,10,M3,109,2.60%,8,+6▲
2024,10,M4,109,2.60%,30,-16▼
2024,10,SL-Class,88,2.40%,6,+7▲
2024,10,GR 86,7,2.00%,28,-17▼
2024,10,718 Cayman,13,1.10%,5,+1▲
2024,10,Huracan EVO,2,0.90%,3,+2▲
2024,10,GR SUPRA,1,0.40%,0,+2▲
2024,10,M8,10,0.40%,0,+2▲
2024,11,Panamera,286,41.00%,109,+177▲
2024,11,Taycan,114,23.50%,121,+43▲
2024,11,911,169,9.50%,88,-22▼
2024,11,AMG GT,2,6.20%,37,+6▲
2024,11,Mustang,1,4.60%,37,-5▼
2024,11,Z4,164,3.40%,36,-12▼
2024,11,718 Boxster,91,3.00%,26,-5▼
2024,11,M3,9,1.60%,0,+11▲
2024,11,M2,33,1.60%,24,-13▼
2024,11,M4,6,1.40%,14,-4▼
2024,11,GR 86,8,1.00%,11,-4▼
2024,11,The New M5,13,0.60%,0,+4▲
2024,11,GR SUPRA,66,0.30%,2,-0▼
2024,11,Huracan EVO,3,0.30%,5,-3▼
2024,11,SL-Class,11,0.30%,13,-11▼
2024,11,MC20 Cielo,1,0.10%,0,+1▲
2024,11,GranCabrio,3,0.10%,0,+1▲
2024,12,Taycan,256,33.70%,164,+92▲
2024,12,Panamera,155,23.20%,286,-110▼
2024,12,Mustang,6,11.60%,32,+56▲
2024,12,911,84,6.10%,66,-20▼
2024,12,AMG GT,7,5.80%,43,+1▲
2024,12,The New M2,1,4.30%,0,+33▲
2024,12,718 Boxster,3,2.50%,21,-2▼
2024,12,Z4,176,2.20%,24,-7▼
2024,12,M4,113,2.10%,10,+6▲
2024,12,GR 86,59,2.00%,7,+8▲
2024,12,The New M5,4,1.80%,4,+10▲
2024,12,SL-Class,88,1.60%,2,+10▲
2024,12,M3,12,1.10%,11,-3▼
2024,12,M8,19,0.50%,0,+4▲
2024,12,718 Cayman,47,0.50%,0,+4▲
2024,12,GranCabrio,46,0.30%,1,+1▲
2024,12,Huracan EVO,4,0.10%,2,-1▼
2025,1,Panamera,215,34.70%,176,+39▲
2025,1,Taycan,67,19.70%,256,-134▼
2025,1,911,137,6.10%,46,-8▼
2025,1,Mustang,5,5.30%,88,-55▼
2025,1,The New M2,6,5.20%,33,-1▼
2025,1,Z4,122,4.70%,17,+12▲
2025,1,AMG GT,78,4.00%,44,-19▼
2025,1,M4,2,3.20%,16,+4▲
2025,1,The New M5,35,3.10%,14,+5▲
2025,1,718 Boxster,2,2.90%,19,-1▼
2025,1,M3,1,1.90%,8,+4▲
2025,1,Purosangue,4,1.80%,0,+11▲
2025,1,Roma Spider,38,1.50%,0,+9▲
2025,1,296 GTS,3,1.50%,0,+9▲
2025,1,SL-Class,3,1.10%,12,-5▼
2025,1,718 Cayman,3,1.10%,4,+3▲
2025,1,GR 86,1,1.00%,15,-9▼
2025,1,GranTurismo,1,0.30%,0,+2▲
2025,1,296 GTB,5,0.30%,0,+2▲
2025,1,M8,10,0.20%,4,-3▼
2025,1,GranCabrio,6,0.20%,2,-1▼
2025,1,SF90 Stradale,3,0.20%,0,+1▲
2025,1,Huracan EVO,1,0.20%,1,-0▼
2025,2,Panamera,210,31.80%,215,-5▼
2025,2,Taycan,80,18.20%,122,-2▼
2025,2,911,72,7.30%,38,+10▲
2025,2,Mustang,52,6.70%,33,+11▲
2025,2,AMG GT,4,6.10%,25,+15▲
2025,2,The New M2,2,4.80%,32,-0▼
2025,2,SL-Class,120,3.90%,7,+19▲
2025,2,Z4,68,3.50%,29,-6▼
2025,2,M4,8,2.90%,20,-1▼
2025,2,718 Boxster,40,2.90%,18,+1▲
2025,2,M3,2,2.70%,12,+6▲
2025,2,The New M5,2,2.70%,19,-1▼
2025,2,Purosangue,48,2.00%,11,+2▲
2025,2,GR 86,1,1.70%,6,+5▲
2025,2,296 GTS,4,1.50%,9,+1▲
2025,2,Roma Spider,2,0.50%,9,-6▼
2025,2,718 Cayman,2,0.30%,7,-5▼
2025,2,SF90 Spider,7,0.20%,0,+1▲
2025,2,LC,3,0.20%,0,+1▲
2025,2,GranTurismo,7,0.20%,2,-1▼
2025,2,SF90 Stradale,5,0.20%,1,-0▼
2025,2,M8,2,0.20%,1,-0▼
